billNo,date,time,billType,status,customerName,productName,quantity,unit,rate,lineTotal,lineProfit,gstRate,discount,grandTotal,paidAmount,udharAmount,grossProfit,paymentModes
KOS-2026-005802,2026-06-29,21:58,normal_sale,active,Walk-in,Match Box,1,piece,2.08,2.08,0.98,18,0,2.08,2.08,0,0.98,cash:2.08
KOS-2026-005801,2026-06-29,21:31,normal_sale,active,Walk-in,Onion,0.25,kg,36.44,9.11,3.11,0,0,44.28,44.28,0,12.03,bank:44.28
KOS-2026-005801,2026-06-29,21:31,normal_sale,active,Walk-in,Urad Dal (loose),0.25,kg,140.67,35.17,8.92,0,0,44.28,44.28,0,12.03,bank:44.28
KOS-2026-005800,2026-06-29,21:13,normal_sale,active,Smita Patil,Tomato,1,kg,41.9,41.9,15.9,0,0,236.81,236.81,0,52.81,cash:236.81
KOS-2026-005800,2026-06-29,21:13,normal_sale,active,Smita Patil,Surf Excel Easy Wash 1kg,1,piece,143.99,143.99,25.99,18,0,236.81,236.81,0,52.81,cash:236.81
KOS-2026-005800,2026-06-29,21:13,normal_sale,active,Smita Patil,Kurkure Masala Munch 70g,2,piece,20,40,7,12,0,236.81,236.81,0,52.81,cash:236.81
KOS-2026-005800,2026-06-29,21:13,normal_sale,active,Smita Patil,Reynolds Pen,1,piece,10.92,10.92,3.92,12,0,236.81,236.81,0,52.81,cash:236.81
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Onion,0.5,kg,36.44,18.22,6.22,0,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Maggi Noodles 70g,3,piece,14.55,43.65,9.15,12,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Lays Classic Salted 52g,1,piece,22.47,22.47,5.97,12,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,KitKat 4-finger,1,piece,21.23,21.23,4.23,18,0,1143.34,1143.34,0,230.14,upi:1143.34
KOS-2026-005799,2026-06-29,21:01,normal_sale,active,Walk-in,Britannia Good Day 100g,2,piece,31.73,63.46,13.46,18,0,1143.34,1143.34,0,230.14,upi:1143.34
