billNo,date,time,billType,status,customerName,productName,quantity,unit,rate,lineTotal,lineProfit,gstRate,discount,grandTotal,paidAmount,udharAmount,grossProfit,paymentModes
KOS-2026-005811,2026-06-29,21:54,normal_sale,active,Walk-in,Sona Masoori Rice (loose),0.25,kg,63.6,15.9,4.4,0,0,15.9,15.9,0,4.4,cash:10|upi:5.9
KOS-2026-005810,2026-06-29,21:44,normal_sale,active,Maria Salunkhe,Toor Dal (loose),0.25,kg,148,37,7.5,0,14.52,540.74,0,540.74,90.24,
KOS-2026-005810,2026-06-29,21:44,normal_sale,active,Maria Salunkhe,Oreo Biscuit 120g,1,piece,35,35,5,18,14.52,540.74,0,540.74,90.24,
KOS-2026-005810,2026-06-29,21:44,normal_sale,active,Maria Salunkhe,Haldiram Bhujia 200g,3,piece,57.38,172.14,37.14,12,14.52,540.74,0,540.74,90.24,
KOS-2026-005810,2026-06-29,21:44,normal_sale,active,Maria Salunkhe,Red Label Tea 250g,2,piece,155.56,311.12,55.12,5,14.52,540.74,0,540.74,90.24,
KOS-2026-005809,2026-06-29,21:28,normal_sale,active,Walk-in,Lux Soap 100g,1,piece,39.81,39.81,9.81,18,0,386.64,386.64,0,86.14,upi:386.64
KOS-2026-005809,2026-06-29,21:28,normal_sale,active,Walk-in,Thums Up 750ml,3,piece,41.66,124.98,28.98,28,0,386.64,386.64,0,86.14,upi:386.64
KOS-2026-005809,2026-06-29,21:28,normal_sale,active,Walk-in,Frooti 200ml,1,piece,10,10,1.5,12,0,386.64,386.64,0,86.14,upi:386.64
KOS-2026-005809,2026-06-29,21:28,normal_sale,active,Walk-in,Besan (loose),1,kg,101.44,101.44,23.44,5,0,386.64,386.64,0,86.14,upi:386.64
KOS-2026-005809,2026-06-29,21:28,normal_sale,active,Walk-in,Groundnut / Peanut (loose),0.25,kg,114.59,28.65,6.65,5,0,386.64,386.64,0,86.14,upi:386.64
KOS-2026-005809,2026-06-29,21:28,normal_sale,active,Walk-in,Britannia Marie Gold 250g,2,piece,40.88,81.76,15.76,18,0,386.64,386.64,0,86.14,upi:386.64
KOS-2026-005808,2026-06-29,20:31,normal_sale,active,Walk-in,Toor Dal (loose),1,kg,148,148,30,0,0,148,148,0,30,upi:148
KOS-2026-005807,2026-06-29,19:51,normal_sale,active,Walk-in,Amul Taaza Milk 500ml,1,piece,28,28,3,0,0,183.05,183,0,40,cash:183
KOS-2026-005807,2026-06-29,19:51,normal_sale,active,Walk-in,Surf Excel Easy Wash 1kg,1,piece,155.05,155.05,37.05,18,0,183.05,183,0,40,cash:183
KOS-2026-005806,2026-06-29,19:47,normal_sale,active,Kiran Pawar,Frooti 200ml,1,piece,10,10,1.5,12,200,206.66,206,0,-149.5,cash:206
KOS-2026-005806,2026-06-29,19:47,normal_sale,active,Kiran Pawar,Thums Up 750ml,1,piece,41.66,41.66,9.66,28,200,206.66,206,0,-149.5,cash:206
KOS-2026-005806,2026-06-29,19:47,normal_sale,active,Kiran Pawar,Amul Ghee 500ml,1,piece,355,355,40,12,200,206.66,206,0,-149.5,cash:206
KOS-2026-005805,2026-06-29,19:26,normal_sale,active,Madhuri Sharma,Sona Masoori Rice (loose),0.5,kg,63.6,31.8,8.8,0,0,31.8,31.8,0,8.8,upi:31.8
KOS-2026-005804,2026-06-29,18:46,normal_sale,active,Walk-in,Amul Taaza Milk 500ml,1,piece,28,28,3,0,0,1131.99,1131.99,0,187.64,upi:1131.99
KOS-2026-005804,2026-06-29,18:46,normal_sale,active,Walk-in,Sona Masoori Rice (loose),1,kg,63.6,63.6,17.6,0,0,1131.99,1131.99,0,187.64,upi:1131.99
