billNo,date,time,billType,status,customerName,productName,quantity,unit,rate,lineTotal,lineProfit,gstRate,discount,grandTotal,paidAmount,udharAmount,grossProfit,paymentModes
KOS-2026-006651,2026-07-25,21:34,normal_sale,active,Madhuri Gupta,Dairy Milk 50g,1,piece,43.88,43.88,9.88,18,0,598.46,598.46,0,108.96,cash:598.46
KOS-2026-006651,2026-07-25,21:34,normal_sale,active,Madhuri Gupta,Britannia Marie Gold 250g,1,piece,40.88,40.88,7.88,18,0,598.46,598.46,0,108.96,cash:598.46
KOS-2026-006651,2026-07-25,21:34,normal_sale,active,Madhuri Gupta,Fortune Sunflower Oil 1L,3,piece,167.9,503.7,89.7,5,0,598.46,598.46,0,108.96,cash:598.46
KOS-2026-006651,2026-07-25,21:34,normal_sale,active,Madhuri Gupta,Frooti 200ml,1,piece,10,10,1.5,12,0,598.46,598.46,0,108.96,cash:598.46
KOS-2026-006650,2026-07-25,21:26,normal_sale,active,Walk-in,Aashirvaad Atta 5kg,1,piece,285,285,40,5,0,457.95,457.95,0,68.95,upi:457.95
KOS-2026-006650,2026-07-25,21:26,normal_sale,active,Walk-in,Ariel Detergent 1kg,1,piece,155,155,23,18,0,457.95,457.95,0,68.95,upi:457.95
KOS-2026-006650,2026-07-25,21:26,normal_sale,active,Walk-in,Onion,0.5,kg,35.9,17.95,5.95,0,0,457.95,457.95,0,68.95,upi:457.95
KOS-2026-006649,2026-07-25,21:15,normal_sale,active,Nilesh Kadam,Maggi Noodles 8-pack,1,piece,108,108,16,12,0,163.2,163.2,0,35.2,cash:71|upi:92.2
KOS-2026-006649,2026-07-25,21:15,normal_sale,active,Nilesh Kadam,Potato,2,kg,27.6,55.2,19.2,0,0,163.2,163.2,0,35.2,cash:71|upi:92.2
KOS-2026-006648,2026-07-25,19:56,normal_sale,active,Balaji Dsouza,Amul Cheese Slices 200g,1,piece,146.21,146.21,24.21,12,0,1322.99,1322.99,0,213.89,upi:1322.99
KOS-2026-006648,2026-07-25,19:56,normal_sale,active,Balaji Dsouza,Amul Masti Dahi 400g,3,piece,40,120,24,5,0,1322.99,1322.99,0,213.89,upi:1322.99
KOS-2026-006648,2026-07-25,19:56,normal_sale,active,Balaji Dsouza,Britannia Good Day 100g,1,piece,30.8,30.8,5.8,18,0,1322.99,1322.99,0,213.89,upi:1322.99
